winner,turns,win_rate
Player1,51,1.0
Player2,33,0.5
Player1,49,0.6666666666666666
Player1,46,0.75
Player2,14,0.6
Player2,25,0.5
Player1,63,0.5714285714285714
Player1,142,0.625
Player1,23,0.6666666666666666
Player1,30,0.7
Player1,31,0.7272727272727273
Player2,23,0.6666666666666666
Player1,17,0.6923076923076923
Player1,32,0.7142857142857143
Player1,55,0.7333333333333333
Player1,22,0.75
Player2,66,0.7058823529411765
Player1,54,0.7222222222222222
Player2,26,0.6842105263157895
Player1,31,0.7
Player2,28,0.6666666666666666
Player2,33,0.6363636363636364
Player1,11,0.6521739130434783
Player1,76,0.6666666666666666
Player1,83,0.68
Player1,46,0.6923076923076923
Player2,140,0.6666666666666666
Player2,39,0.6428571428571429
Player2,44,0.6206896551724138
Player1,28,0.6333333333333333
Player2,26,0.6129032258064516
Player1,44,0.625
Player1,21,0.6363636363636364
Player1,42,0.6470588235294118
Player2,86,0.6285714285714286
Player1,18,0.6388888888888888
Player1,27,0.6486486486486487
Player1,32,0.6578947368421053
Player1,13,0.6666666666666666
Player2,25,0.65
Player1,75,0.6585365853658537
Player1,30,0.6666666666666666
Player1,29,0.6744186046511628
Player2,55,0.6590909090909091
Player2,52,0.6444444444444445
Player1,120,0.6521739130434783
Player2,32,0.6382978723404256
Player2,69,0.625
Player1,59,0.6326530612244898
Player2,63,0.62
Player1,41,0.6274509803921569
Player2,15,0.6153846153846154
Player1,17,0.6226415094339622
Player1,88,0.6296296296296297
Player1,29,0.6363636363636364
Player2,45,0.625
Player1,25,0.631578947368421
Player2,21,0.6206896551724138
Player2,34,0.6101694915254238
Player1,48,0.6166666666666667
Player1,27,0.6229508196721312
Player2,29,0.6129032258064516
Player2,36,0.6031746031746031
Player2,35,0.59375
Player1,23,0.6
Player1,56,0.6060606060606061
Player1,13,0.6119402985074627
Player1,30,0.6176470588235294
Player1,35,0.6231884057971014
Player2,11,0.6142857142857143
Player1,33,0.6197183098591549
Player2,19,0.6111111111111112
Player1,61,0.6164383561643836
Player2,19,0.6081081081081081
Player1,56,0.6133333333333333
Player1,40,0.618421052631579
Player1,33,0.6233766233766234
Player1,44,0.6282051282051282
Player1,51,0.6329113924050633
Player1,32,0.6375
Player2,42,0.6296296296296297
Player2,57,0.6219512195121951
Player2,32,0.6144578313253012
Player1,54,0.6190476190476191
Player1,23,0.6235294117647059
Player2,39,0.6162790697674418
Player1,25,0.6206896551724138
Player2,37,0.6136363636363636
Player1,93,0.6179775280898876
Player2,23,0.6111111111111112
Player1,119,0.6153846153846154
Player2,17,0.6086956521739131
Player1,29,0.6129032258064516
Player2,49,0.6063829787234043
Player1,27,0.6105263157894737
Player2,17,0.6041666666666666
Player1,99,0.6082474226804123
Player1,46,0.6122448979591837
Player2,22,0.6060606060606061
Player2,47,0.6
Player1,27,0.6039603960396039
Player2,41,0.5980392156862745
Player2,60,0.5922330097087378
Player2,41,0.5865384615384616
Player2,56,0.580952380952381
Player1,24,0.5849056603773585
Player2,40,0.5794392523364486
Player1,54,0.5833333333333334
Player2,22,0.5779816513761468
Player1,30,0.5818181818181818
Player1,57,0.5855855855855856
Player1,48,0.5892857142857143
Player1,13,0.5929203539823009
Player1,68,0.5964912280701754
Player1,85,0.6
Player2,37,0.5948275862068966
Player2,60,0.5897435897435898
Player1,28,0.5932203389830508
Player2,44,0.5882352941176471
Player1,38,0.5916666666666667
Player1,39,0.5950413223140496
Player2,29,0.5901639344262295
Player2,28,0.5853658536585366
Player1,24,0.5887096774193549
Player1,23,0.592
Player1,52,0.5952380952380952
Player2,22,0.5905511811023622
Player1,24,0.59375
Player1,49,0.5968992248062015
Player1,22,0.6
Player2,14,0.5954198473282443
Player1,28,0.5984848484848485
Player1,27,0.6015037593984962
Player1,18,0.6044776119402985
Player1,35,0.6074074074074074
Player2,13,0.6029411764705882
Player1,105,0.6058394160583942
Player2,37,0.6014492753623188
Player1,72,0.60431654676259
Player1,24,0.6071428571428571
Player2,30,0.6028368794326241
Player2,75,0.5985915492957746
Player2,18,0.5944055944055944
Player1,60,0.5972222222222222
Player1,55,0.6
Player2,59,0.5958904109589042
Player2,26,0.5918367346938775
Player2,159,0.5878378378378378
Player2,24,0.5838926174496645
Player2,25,0.58
Player1,31,0.5827814569536424
Player2,15,0.5789473684210527
Player2,26,0.5751633986928104
Player1,42,0.577922077922078
Player1,35,0.5806451612903226
Player2,27,0.5769230769230769
Player1,35,0.5796178343949044
Player1,67,0.5822784810126582
Player2,28,0.5786163522012578
Player2,21,0.575
Player2,14,0.5714285714285714
Player2,19,0.5679012345679012
Player2,34,0.5644171779141104
Player2,13,0.5609756097560976
Player1,119,0.5636363636363636
Player1,24,0.5662650602409639
Player1,103,0.5688622754491018
Player2,23,0.5654761904761905
Player1,21,0.5680473372781065
Player1,38,0.5705882352941176
Player2,22,0.5672514619883041
Player1,28,0.5697674418604651
Player1,13,0.5722543352601156
Player2,15,0.5689655172413793
Player2,36,0.5657142857142857
Player2,89,0.5625
Player1,35,0.5649717514124294
Player2,27,0.5617977528089888
Player1,25,0.5642458100558659
Player2,29,0.5611111111111111
Player1,19,0.56353591160221
Player2,61,0.5604395604395604
Player2,34,0.5573770491803278
Player2,43,0.5543478260869565
Player2,52,0.5513513513513514
Player1,30,0.553763440860215
Player2,50,0.5508021390374331
Player1,30,0.5531914893617021
Player2,34,0.5502645502645502
Player2,105,0.5473684210526316
Player2,28,0.5445026178010471
Player1,28,0.546875
Player2,30,0.5440414507772021
Player2,51,0.5412371134020618
Player2,64,0.5384615384615384
Player2,9,0.5357142857142857
Player1,151,0.5380710659898477
Player2,31,0.5353535353535354
Player1,29,0.5376884422110553
Player1,22,0.54
Player1,37,0.5422885572139303
Player1,14,0.5445544554455446
Player1,45,0.5467980295566502
Player1,76,0.5490196078431373
Player1,43,0.551219512195122
Player1,48,0.5533980582524272
Player1,61,0.5555555555555556
Player2,41,0.5528846153846154
Player1,23,0.5550239234449761
Player2,11,0.5523809523809524
Player1,17,0.5545023696682464
Player2,21,0.5518867924528302
Player1,41,0.5539906103286385
Player2,13,0.5514018691588785
Player1,43,0.5534883720930233
Player1,68,0.5555555555555556
Player1,19,0.5576036866359447
Player1,104,0.5596330275229358
Player1,39,0.5616438356164384
Player1,60,0.5636363636363636
Player2,16,0.5610859728506787
Player2,21,0.5585585585585585
Player1,79,0.5605381165919282
Player1,94,0.5625
Player2,44,0.56
Player1,48,0.5619469026548672
Player1,15,0.5638766519823789
Player1,16,0.5657894736842105
Player1,13,0.5676855895196506
Player2,21,0.5652173913043478
Player1,41,0.5670995670995671
Player1,20,0.5689655172413793
Player1,23,0.5708154506437768
Player1,22,0.5726495726495726
Player2,32,0.5702127659574469
Player2,93,0.5677966101694916
Player2,106,0.5654008438818565
Player1,36,0.5672268907563025
Player2,22,0.5648535564853556
Player2,9,0.5625
Player1,27,0.5643153526970954
Player1,12,0.5661157024793388
Player1,35,0.5679012345679012
Player1,20,0.569672131147541
Player1,15,0.5714285714285714
Player2,89,0.5691056910569106
Player2,22,0.5668016194331984
Player1,22,0.5685483870967742
Player1,29,0.570281124497992
Player2,23,0.568
Player1,27,0.5697211155378487
Player2,11,0.5674603174603174
Player1,25,0.5691699604743083
Player2,37,0.5669291338582677
Player1,39,0.5686274509803921
Player2,23,0.56640625
Player2,29,0.5642023346303502
Player2,53,0.562015503875969
Player1,41,0.5637065637065637
Player1,32,0.5653846153846154
Player2,40,0.5632183908045977
Player1,32,0.5648854961832062
Player1,59,0.5665399239543726
Player2,31,0.5643939393939394
Player1,35,0.5660377358490566
Player2,17,0.5639097744360902
Player2,12,0.5617977528089888
Player2,49,0.5597014925373134
Player2,18,0.5576208178438662
Player2,11,0.5555555555555556
Player2,34,0.5535055350553506
Player2,43,0.5514705882352942
Player1,67,0.5531135531135531
Player2,53,0.551094890510949
Player1,49,0.5527272727272727
Player1,24,0.5543478260869565
Player2,42,0.5523465703971119
Player2,65,0.5503597122302158
Player2,30,0.5483870967741935
Player2,25,0.5464285714285714
Player2,16,0.5444839857651246
Player2,53,0.5425531914893617
Player2,46,0.5406360424028268
Player1,44,0.5422535211267606
Player2,20,0.5403508771929825
Player2,69,0.5384615384615384
Player2,36,0.5365853658536586
Player1,48,0.5381944444444444
Player1,33,0.5397923875432526
Player2,13,0.5379310344827586
Player1,47,0.5395189003436426
Player2,15,0.5376712328767124
Player1,53,0.5392491467576792
Player2,19,0.5374149659863946
Player2,24,0.535593220338983
Player2,21,0.5337837837837838
Player2,34,0.531986531986532
Player2,25,0.5302013422818792
Player1,51,0.5317725752508361
Player1,14,0.5333333333333333
Player1,37,0.5348837209302325
Player2,35,0.5331125827814569
Player2,82,0.5313531353135313
Player2,21,0.5296052631578947
Player1,31,0.5311475409836065
Player1,28,0.5326797385620915
Player1,23,0.5342019543973942
Player1,14,0.5357142857142857
Player1,33,0.5372168284789643
Player1,84,0.5387096774193548
Player2,110,0.5369774919614148
Player1,46,0.5384615384615384
Player2,86,0.536741214057508
Player1,34,0.5382165605095541
Player1,23,0.5396825396825397
Player2,23,0.5379746835443038
Player2,58,0.5362776025236593
Player2,15,0.5345911949685535
Player2,66,0.5329153605015674
Player1,78,0.534375
Player2,24,0.5327102803738317
Player2,85,0.531055900621118
Player2,40,0.5294117647058824
Player1,44,0.5308641975308642
Player2,28,0.5292307692307693
Player1,34,0.5306748466257669
Player1,87,0.5321100917431193
Player2,21,0.5304878048780488
Player1,39,0.5319148936170213
Player2,17,0.5303030303030303
Player1,51,0.5317220543806647
Player2,23,0.5301204819277109
Player1,13,0.5315315315315315
Player2,17,0.5299401197604791
Player2,24,0.5283582089552239
Player2,39,0.5267857142857143
Player1,27,0.5281899109792285
Player1,62,0.5295857988165681
Player1,35,0.5309734513274337
Player2,35,0.5294117647058824
Player1,11,0.530791788856305
Player2,19,0.5292397660818714
Player1,15,0.5306122448979592
Player1,80,0.5319767441860465
Player2,13,0.5304347826086957
Player2,55,0.5289017341040463
Player2,22,0.5273775216138329
Player2,49,0.5258620689655172
Player1,21,0.5272206303724928
Player1,28,0.5285714285714286
Player2,16,0.5270655270655271
Player2,35,0.5255681818181818
Player1,49,0.5269121813031161
Player2,39,0.5254237288135594
Player1,17,0.5267605633802817
Player2,53,0.5252808988764045
Player1,19,0.5266106442577031
Player2,125,0.5251396648044693
Player2,92,0.5236768802228412
Player1,28,0.525
Player1,15,0.5263157894736842
Player2,25,0.5248618784530387
Player1,105,0.5261707988980716
Player2,51,0.5247252747252747
Player2,30,0.5232876712328767
Player2,15,0.5218579234972678
Player2,144,0.5204359673024523
Player1,58,0.5217391304347826
Player2,40,0.5203252032520326
Player1,50,0.5216216216216216
Player2,14,0.5202156334231806
Player2,17,0.5188172043010753
Player2,18,0.517426273458445
Player2,61,0.516042780748663
Player1,105,0.5173333333333333
Player1,58,0.5186170212765957
Player2,30,0.5172413793103449
Player1,16,0.5185185185185185
Player1,49,0.5197889182058048
Player1,20,0.5210526315789473
Player1,27,0.5223097112860893
Player2,15,0.5209424083769634
Player1,121,0.5221932114882507
Player2,39,0.5208333333333334
Player2,82,0.5194805194805194
Player1,88,0.5207253886010362
Player1,43,0.5219638242894057
Player1,32,0.5231958762886598
Player2,58,0.5218508997429306
Player1,18,0.5230769230769231
Player1,23,0.5242966751918159
Player2,27,0.5229591836734694
Player1,41,0.5241730279898219
Player2,53,0.5228426395939086
Player2,20,0.5215189873417722
Player1,44,0.5227272727272727
Player1,33,0.5239294710327456
Player2,33,0.5226130653266332
Player2,68,0.5213032581453634
Player1,32,0.5225
Player1,85,0.5236907730673317
Player2,19,0.5223880597014925
Player2,14,0.5210918114143921
Player1,84,0.5222772277227723
Player2,56,0.5209876543209877
Player1,74,0.5221674876847291
Player2,26,0.5208845208845209
Player2,35,0.5196078431372549
Player1,69,0.5207823960880196
Player2,46,0.5195121951219512
Player1,85,0.5206812652068127
Player1,14,0.5218446601941747
Player1,67,0.5230024213075061
Player2,27,0.5217391304347826
Player1,29,0.5228915662650603
Player2,15,0.5216346153846154
Player1,37,0.5227817745803357
Player1,49,0.5239234449760766
Player1,61,0.5250596658711217
Player2,75,0.5238095238095238
Player2,18,0.5225653206650831
Player1,46,0.523696682464455
Player1,41,0.524822695035461
Player2,15,0.5235849056603774
Player2,34,0.5223529411764706
Player1,58,0.5234741784037559
Player2,80,0.522248243559719
Player2,43,0.5210280373831776
Player1,11,0.5221445221445221
Player2,101,0.5209302325581395
Player2,38,0.5197215777262181
